Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
23,Arian Foster,HOU,RB,13,5,1,0,1246,8,38,327,5,2,18.1,235.5
24,Eddie Lacy,GB,RB,16,0,0,0,1139,9,42,427,4,2,14.4,230.6
25,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,14.4,229.9
25,Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,14.4,229.9
27,Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,14.2,228
28,Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,2,14,224.62
29,Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,1,14.7,220
30,Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,3,14,210.4
31,Odell Beckham Jr,NYG,WR,12,0,0,0,35,0,91,1305,12,1,17,204
32,Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,12.7,202.9
33,Randall Cobb,GB,WR,16,0,0,0,37,0,91,1287,12,2,12.6,202.4
34,Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,12.6,200.8
35,Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,1,12.9,193.4
36,Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,12.1,192.9
37,Derek Carr,OAK,QB,16,3270,21,12,87,0,0,0,0,4,12,191.5
38,Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,3,11.6,185.4
39,Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,12.3,184.4
40,Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,2,11.5,183.9
41,Ryan Fitzpatrick,HOU,QB,12,2483,17,8,184,2,0,0,0,1,15,179.72
42,Teddy Bridgewater,MIN,QB,13,2919,14,12,209,1,0,0,0,0,13.8,179.66
43,CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,11.8,177.3
44,Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,11.8,177.1
45,Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,11,176.6
46,T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,1,11.8,176.5
47,Kyle Orton,BUF,QB,12,3018,18,10,14,1,0,0,0,3,14.7,176.12
48,LeSean McCoy,PHI,RB,16,0,0,0,1319,5,29,155,0,3,10.7,171.4
49,Alfred Morris,WAS,RB,16,0,0,0,1074,8,17,155,0,0,10.7,170.9
50,Blake Bortles,JAX,QB,14,2907,11,17,419,0,0,0,0,1,12,168.18
51,Joique Bell,DET,RB,15,0,0,0,860,7,34,322,1,1,10.9,164.2
52,Mark Ingram,NO,RB,13,0,0,0,964,9,29,145,0,1,12.5,162.9
53,Golden Tate,DET,WR,16,0,0,0,30,0,99,1331,4,0,10,160.1
54,Brian Hoyer,CLE,QB,14,3335,12,13,32,0,0,0,0,1,11.2,156.6
55,Calvin Johnson,DET,WR,13,0,0,0,0,0,71,1077,8,0,12,155.7
56,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,76,1210,6,1,9.7,155
57,Antonio Gates,LAC,TE,16,0,0,0,0,0,69,821,12,0,9.6,154.1
58,DeSean Jackson,WAS,WR,15,0,0,0,7,0,56,1169,6,0,10.2,153.6
59,Kelvin Benjamin,CAR,WR,16,0,0,0,0,0,73,1008,9,1,9.6,152.8
60,Geno Smith,NYJ,QB,14,2525,13,13,238,1,0,0,0,3,10.8,150.8
61,Matt Asiata,MIN,RB,15,0,0,0,570,9,44,312,1,1,10,150.2
62,Frank Gore,SF,RB,16,0,0,0,1103,4,11,111,1,2,9.2,147.4
63,Mike Wallace,MIA,WR,16,0,0,0,16,0,67,862,10,1,9.1,145.8
64,Giovani Bernard,CIN,RB,13,0,0,0,680,5,43,349,2,0,11.1,144.9
64,Jimmy Graham,NO,TE,16,0,0,0,0,0,85,889,10,2,9.1,144.9
66,Torrey Smith,BAL,WR,16,0,0,0,0,0,49,767,11,0,8.9,142.7
67,Steve Smith,BAL,WR,16,0,0,0,0,0,79,1065,6,1,8.8,140.5
68,Mark Sanchez,PHI,QB,9,2418,14,11,87,1,0,0,0,3,15.5,139.42
69,Greg Olsen,CAR,TE,16,0,0,0,0,0,84,1008,6,0,8.6,136.8
70,Brandon LaFell,NE,WR,16,0,0,0,13,0,74,953,7,1,8.5,136.6
70,Anquan Boldin,SF,WR,16,0,0,0,4,0,83,1062,5,0,8.5,136.6
72,AJ Green,CIN,WR,13,0,0,0,2,0,69,1041,6,2,10.5,136.3
73,Jordan Matthews,PHI,WR,16,0,0,0,0,0,67,872,8,0,8.4,135.2
74,Chris Ivory,NYJ,RB,16,0,0,0,820,6,18,123,1,1,8.4,134.3
75,Sammy Watkins,BUF,WR,16,0,0,0,8,0,65,982,6,1,8.3,133
76,Roddy White,ATL,WR,14,0,0,0,0,0,80,921,7,1,9.4,132.1
77,Martellus Bennett,CHI,TE,16,0,0,0,0,0,90,916,6,0,8.2,131.6
78,Andre Ellington,ARI,RB,12,0,0,0,660,3,46,395,2,2,11,131.5
79,Julian Edelman,NE,WR,14,0,0,0,94,0,92,972,4,0,9.3,130.6
80,Andre Williams,NYG,RB,16,0,0,0,721,7,18,130,0,0,7.9,127.1
81,Josh McCown,TB,QB,12,2206,11,14,127,3,0,0,0,4,10.6,126.94
82,Eric Decker,NYJ,WR,15,0,0,0,0,0,74,962,5,0,8.4,126.2
83,Coby Fleener,IND,TE,16,0,0,0,0,0,51,774,8,0,7.8,125.4
84,Mohamed Sanu,CIN,WR,16,79,1,0,51,0,56,790,5,0,7.7,123.26
85,Fred Jackson,BUF,RB,14,0,0,0,526,2,66,501,1,0,8.8,122.7
86,Malcom Floyd,LAC,WR,16,0,0,0,0,0,52,856,6,0,7.6,121.6
87,Steven Jackson,ATL,RB,15,0,0,0,707,6,20,148,0,0,8.1,121.5
88,Jonathan Stewart,CAR,RB,13,0,0,0,809,3,25,181,1,1,9.3,121
89,Julius Thomas,DEN,TE,13,0,0,0,0,0,43,489,12,0,9.3,120.9
90,Nick Foles,PHI,QB,8,2163,13,10,68,0,0,0,0,3,14.9,119.32
91,Tre Mason,LAR,RB,12,0,0,0,765,4,16,148,1,1,9.9,119.3
92,Eddie Royal,LAC,WR,16,0,0,0,14,0,62,778,7,1,7.4,119.2
93,Michael Floyd,ARI,WR,16,0,0,0,2,0,47,841,6,1,7.4,118.3
94,Marques Colston,NO,WR,16,0,0,0,0,0,59,902,5,1,7.4,118.2
95,Brandon Marshall,CHI,WR,13,0,0,0,0,0,61,721,8,1,9.1,118.1
96,Ahmad Bradshaw,IND,RB,10,0,0,0,425,2,38,300,6,2,11.6,116.5
97,Travis Kelce,KC,TE,16,0,0,0,0,1,67,862,5,3,7.3,116.2
98,Shane Vereen,NE,RB,16,0,0,0,391,2,53,447,3,0,7.1,113.8
99,Isaiah Crowell,CLE,RB,16,0,0,0,607,8,9,87,0,2,7.1,113.4
100,Delanie Walker,TEN,TE,15,0,0,0,0,0,63,890,4,0,7.5,113
101,Rueben Randle,NYG,WR,16,0,0,0,0,0,71,938,3,0,7,111.8
102,Kenny Stills,NO,WR,15,0,0,0,-2,0,63,931,3,0,7.4,110.9
102,Kendall Wright,TEN,WR,14,0,0,0,54,0,57,715,6,1,7.9,110.9
104,Greg Jennings,MIN,WR,16,0,0,0,0,0,59,742,6,0,6.9,110.2
104,Vincent Jackson,TB,WR,16,0,0,0,0,0,70,1002,2,1,6.9,110.2
106,Terrance Williams,DAL,WR,16,0,0,0,0,0,37,621,8,0,6.9,110.1
107,Branden Oliver,LAC,RB,14,0,0,0,582,3,36,271,1,0,7.8,109.3
108,Rashad Jennings,NYG,RB,11,0,0,0,639,4,30,226,0,1,9.9,108.5
109,Austin Davis,LAR,QB,10,2001,12,9,36,0,0,0,0,3,10.8,107.64
110,Andre Johnson,HOU,WR,15,0,0,0,0,0,85,936,3,3,7,105.6
110,Darren Sproles,PHI,RB,15,0,0,0,329,6,40,387,0,1,7,105.6
112,Martavis Bryant,PIT,WR,10,0,0,0,12,0,26,549,8,0,10.4,104.1
113,Allen Hurns,JAX,WR,16,0,0,0,0,0,51,677,6,0,6.5,103.7
114,Carson Palmer,ARI,QB,6,1626,11,3,25,0,0,0,0,1,17.3,103.54
115,Terrance West,CLE,RB,14,0,0,0,673,4,11,64,1,1,7.3,101.7
116,Doug Baldwin,SEA,WR,16,0,0,0,8,0,66,825,3,0,6.3,101.3
117,James Jones,OAK,WR,16,0,0,0,0,0,73,666,6,1,6.3,100.6
118,Jason Witten,DAL,TE,16,0,0,0,0,0,64,703,5,0,6.3,100.3
119,Robert Woods,BUF,WR,16,0,0,0,0,0,65,699,5,1,6.2,99.9
120,John Brown,ARI,WR,16,0,0,0,-6,0,48,696,5,0,6.2,99
120,Knile Davis,KC,RB,16,0,0,0,463,6,16,147,1,2,6.2,99
122,Keenan Allen,LAC,WR,14,0,0,0,0,0,77,783,4,2,7,98.3
123,Jarvis Landry,MIA,WR,16,0,0,0,-4,0,84,758,5,4,6.1,97.4
124,Andrew Hawkins,CLE,WR,15,0,0,0,15,0,63,825,2,0,6.4,96
125,Drew Stanton,ARI,QB,9,1711,7,5,63,0,0,0,0,0,10.5,94.74
126,Michael Crabtree,SF,WR,16,0,0,0,4,0,68,698,4,0,5.9,94.2
126,Kenny Britt,LAR,WR,16,0,0,0,14,0,48,748,3,0,5.9,94.2
128,Heath Miller,PIT,TE,16,0,0,0,0,0,66,761,3,1,5.9,94.1
129,Andre Holmes,OAK,WR,16,0,0,0,0,0,47,693,4,0,5.8,93.3
130,Pierre Garcon,WAS,WR,16,0,0,0,0,0,68,752,3,0,5.8,93.2
131,Chris Johnson,NYJ,RB,16,0,0,0,663,1,24,151,1,1,5.7,91.4
132,Trent Richardson,IND,RB,15,0,0,0,519,3,27,229,0,1,6.1,90.8
133,Denard Robinson,JAX,RB,13,0,0,0,582,4,23,124,0,2,7,90.6
134,Larry Donnell,NYG,TE,16,0,0,0,0,0,63,623,6,4,5.6,90.3
135,Mike Glennon,TB,QB,6,1417,10,6,49,0,0,0,0,0,14.9,89.58
136,Shaun Hill,LAR,QB,9,1657,8,7,10,1,1,0,0,1,9.9,89.28
137,Larry Fitzgerald,ARI,WR,14,0,0,0,0,0,63,784,2,1,6.3,88.4
137,Kirk Cousins,WAS,QB,6,1710,10,9,20,0,0,0,0,2,14.7,88.4
139,LeGarrette Blount,NE,RB,16,0,0,0,547,5,10,54,0,1,5.5,88.1
140,Reggie Wayne,IND,WR,15,0,0,0,0,0,64,779,2,1,5.9,87.9
141,Dwayne Allen,IND,TE,13,0,0,0,0,0,29,395,8,0,6.7,87.5
142,Robert Griffin III,WAS,QB,9,1694,4,6,176,1,0,0,0,4,9.7,87.36
143,Charlie Whitehurst,TEN,QB,7,1326,7,2,90,0,0,10,0,0,12.4,87.04
144,Brandin Cooks,NO,WR,10,0,0,0,73,1,53,550,3,0,8.6,86.3
145,Zach Ertz,PHI,TE,16,0,0,0,0,0,58,702,3,1,5.4,86.2
146,Roy Helu,WAS,RB,14,0,0,0,216,1,42,477,2,1,6.1,85.3
147,Darren McFadden,OAK,RB,16,0,0,0,534,2,36,212,0,1,5.3,84.6
148,Alfred Blue,HOU,RB,16,0,0,0,528,2,15,113,1,0,5.1,82.1
149,Jared Cook,LAR,TE,16,0,0,0,0,0,52,634,3,0,5.1,81.4
150,Ronnie Hillman,DEN,RB,8,0,0,0,434,3,21,139,1,0,10.2,81.3
151,Benjamin Cunningham,LAR,RB,16,0,0,0,246,3,45,352,1,2,5,79.8
152,Charles Clay,MIA,TE,14,0,0,0,0,0,58,605,3,0,5.6,78.5
152,Percy Harvin,NYJ,WR,13,0,0,0,202,1,51,483,1,1,6,78.5
